,Date,AMZN,AMZN,AMZN,AMZN,AMZN,AMZN,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
,,Open,High,Low,Close,Adj Close,Volume,Open,High,Low,Close,Adj Close,Volume
4093,2018-04-06,71.49849700927734,72.625,70.01300048828125,70.2614974975586,70.2614974975586,117646000,42.74250030517578,43.119998931884766,42.04999923706055,42.095001220703125,40.19132614135742,140021200
4094,2018-04-09,71.25150299072266,71.92400360107422,70.12850189208984,70.30400085449219,70.30400085449219,84164000,42.470001220703125,43.272499084472656,42.462501525878906,42.51250076293945,40.58993911743164,116070800
4095,2018-04-10,71.59950256347656,71.91899871826172,70.78500366210938,71.81099700927734,71.81099700927734,85082000,43.25,43.5,42.88249969482422,43.3125,41.353763580322266,113634400
4096,2018-04-11,71.97200012207031,72.43900299072266,71.24449920654297,71.35250091552734,71.35250091552734,71650000,43.057498931884766,43.47999954223633,42.92499923706055,43.11000061035156,41.160423278808594,89726400
4097,2018-04-12,71.9749984741211,72.60600280761719,71.75299835205078,72.42500305175781,72.42500305175781,62700000,43.352500915527344,43.75,43.2599983215332,43.53499984741211,41.56620407104492,91557200
4098,2018-04-13,72.45700073242188,72.98899841308594,71.22599792480469,71.53949737548828,71.53949737548828,73706000,43.69499969482422,43.959999084472656,43.462501525878906,43.682498931884766,41.707035064697266,100497200
4099,2018-04-16,72.25,72.3499984741211,71.3740005493164,72.07499694824219,72.07499694824219,56172000,43.75749969482422,44.04750061035156,43.70750045776367,43.95500183105469,41.96721649169922,86313600
4100,2018-04-17,73.11499786376953,75.3594970703125,72.85099792480469,75.19149780273438,75.19149780273438,102288000,44.122501373291016,44.73500061035156,44.102500915527344,44.560001373291016,42.54485321044922,106421600
4101,2018-04-18,75.73249816894531,76.69000244140625,75.20549774169922,76.39199829101562,76.39199829101562,104550000,44.45249938964844,44.70500183105469,44.220001220703125,44.459999084472656,42.44937515258789,83018000
4102,2018-04-19,77.16100311279297,78.4260025024414,76.9530029296875,77.84549713134766,77.84549713134766,130474000,43.439998626708984,43.84749984741211,43.165000915527344,43.20000076293945,41.2463493347168,139235200
4103,2018-04-20,78.05999755859375,78.05999755859375,75.80449676513672,76.37449645996094,76.37449645996094,110832000,42.650001525878906,42.80500030517578,41.35749816894531,41.43000030517578,39.55638885498047,261964400
4104,2018-04-23,77.33450317382812,77.4000015258789,75.17050170898438,75.89299774169922,75.89299774169922,89308000,41.70750045776367,41.72999954223633,41.022499084472656,41.310001373291016,39.44182586669922,146062000
