date,open,high,low,close,adjclose,volume
7/3/2019,50.81999969,51.11000061,50.67250061,51.10250092,49.72518539,45448000
7/5/2019,50.83750153,51.27000046,50.72499847,51.05749893,49.6814003,69062000
7/8/2019,50.20249939,50.34999847,49.60250092,50.00500107,48.65726471,101354400
7/9/2019,49.79999924,50.37749863,49.70249939,50.31000137,48.95404053,82312000
7/10/2019,50.46250153,50.93249893,50.38999939,50.80749893,49.4381485,71588400
7/11/2019,50.82749939,51.09749985,50.42750168,50.4375,49.07811356,80767200
7/12/2019,50.61249924,51,50.54999924,50.82500076,49.45517349,70380800
7/15/2019,51.02249908,51.46749878,51,51.30250168,49.91979599,67789600
7/16/2019,51.14749908,51.52750015,50.875,51.125,49.74708557,67467200
7/17/2019,51.01250076,51.27249908,50.81750107,50.83750153,49.4673233,56430000
7/18/2019,51,51.47000122,50.92499924,51.41500092,50.02926636,74162400
7/19/2019,51.44749832,51.625,50.59000015,50.64749908,49.28244781,83717200
7/22/2019,50.91249847,51.80749893,50.90250015,51.80500031,50.40874863,89111600
7/23/2019,52.11500168,52.22750092,51.82249832,52.20999908,50.80283356,73420800
7/24/2019,51.91749954,52.28749847,51.79249954,52.16749954,50.76147842,59966400
7/25/2019,52.22249985,52.31000137,51.68249893,51.75500107,50.36009979,55638400
7/26/2019,51.86999893,52.43249893,51.78499985,51.93500137,50.53524399,70475600
7/29/2019,52.11500168,52.65999985,52.11000061,52.41999817,51.00717545,86693600
7/30/2019,52.18999863,52.54000092,51.82749939,52.19499969,50.78823853,135742800
7/31/2019,54.10499954,55.34249878,52.82500076,53.25999832,51.82453537,277125600
8/1/2019,53.47499847,54.50749969,51.68500137,52.10749817,50.7030983,216071600
8/2/2019,51.38249969,51.60749817,50.40750122,51.00500107,49.63031387,163448400
8/5/2019,49.49750137,49.66249847,48.14500046,48.33499908,47.03227997,209572000
8/6/2019,49.07749939,49.51750183,48.50999832,49.25,47.92260742,143299200
8/7/2019,48.85250092,49.88999939,48.45500183,49.75999832,48.41886139,133457600
8/8/2019,50.04999924,50.88249969,49.84749985,50.85749817,49.48678589,108038000
8/9/2019,50.32500076,50.68999863,49.82249832,50.24750137,49.07899094,98478800
8/12/2019,49.90499878,50.51250076,49.78749847,50.11999893,48.95446396,89927600
8/13/2019,50.25500107,53.03499985,50.11999893,52.24250031,51.02760315,188874000
8/14/2019,50.79000092,51.61000061,50.64749908,50.6875,49.50876617,146189600
8/15/2019,50.86500168,51.28499985,49.91749954,50.43500137,49.26214218,108909600
8/16/2019,51.06999969,51.79000092,50.95999908,51.625,50.42446518,110481600
8/19/2019,52.65499878,53.18249893,52.50749969,52.58750153,51.36458588,97654400
8/20/2019,52.72000122,53.33750153,52.58000183,52.59000015,51.36702728,107537200
8/21/2019,53.24750137,53.41249847,52.90000153,53.15999985,51.92377472,86141600
8/22/2019,53.29750061,53.61000061,52.6875,53.11500168,51.87981796,89014800
8/23/2019,52.35749817,53.01250076,50.25,50.65999985,49.48190689,187272000
8/26/2019,51.46500015,51.79750061,51.26499939,51.62250137,50.42202759,104174400
8/27/2019,51.96500015,52.13750076,50.88249969,51.04000092,49.85307312,103493200
8/28/2019,51.02500153,51.43000031,50.83000183,51.38249969,50.18761063,63755200
8/29/2019,52.125,52.33000183,51.66500092,52.25249863,51.03736877,83962000
8/30/2019,52.54000092,52.61249924,51.79999924,52.18500137,50.97143936,84573600
9/3/2019,51.60749817,51.74499893,51.05500031,51.42499924,50.22911453,80092000
9/4/2019,52.09749985,52.36999893,51.83000183,52.29750061,51.08132935,76752400
9/5/2019,53,53.49250031,52.87749863,53.31999969,52.08004761,95654800
9/6/2019,53.51250076,53.60499954,53.12749863,53.31499863,52.07516479,77449200
9/9/2019,53.70999908,54.11000061,52.76750183,53.54249954,52.2973671,109237600
9/10/2019,53.46500015,54.19499969,52.92750168,54.17499924,52.91516113,127111600
9/11/2019,54.51750183,55.92750168,54.43249893,55.89749908,54.59761429,177158400
9/12/2019,56.20000076,56.60499954,55.71500015,55.77249908,54.47551727,128906800
9/13/2019,55,55.19749832,54.25500107,54.6875,53.41574478,159053200
9/16/2019,54.43249893,55.03250122,54.38999939,54.97499847,53.69655228,84632400
9/17/2019,54.99000168,55.20500183,54.77999878,55.17499924,53.89191437,73274800
9/18/2019,55.26499939,55.71250153,54.86000061,55.69250107,54.3973732,101360000
9/19/2019,55.50249863,55.93999863,55.09249878,55.24000168,53.95540237,88242400
9/20/2019,55.34500122,55.63999939,54.36750031,54.43249893,53.16667557,221652400
9/23/2019,54.73749924,54.95999908,54.41249847,54.68000031,53.40842056,76662000
9/24/2019,55.25749969,55.62250137,54.29750061,54.41999817,53.15446854,124763200
9/25/2019,54.63750076,55.375,54.28499985,55.25749969,53.97249222,87613600
9/26/2019,55,55.23500061,54.70750046,54.97249985,53.6941185,75334000
